,height,width,mean_intensity,std_intensity,min_intensity,max_intensity
count,100.0,100.0,100.0,100.0,100.0,100.0
mean,240.0,640.0,23.773325716145827,48.921567917968105,0.41,250.68
std,0.0,0.0,7.887613477113943,12.53484872928528,0.6528105515091007,6.928028273439405
min,240.0,640.0,12.0625390625,26.444619713324073,0.0,198.0
25%,240.0,640.0,17.880930989583334,40.23483375271244,0.0,251.0
50%,240.0,640.0,22.367415364583334,48.52929073900773,0.0,252.0
75%,240.0,640.0,29.463595377604165,57.63783374062769,1.0,254.25
max,240.0,640.0,47.44028645833333,79.75754112674616,3.0,255.0
